Course Code,Grade,Course Title,MyEd BC Code,TRAX Code,Course Category,Lang Of Inst,Developer,Authorizer,Open Date,Close Date,Completion End Date,Credit Value,Grad Program,Grad Program Requirement,HST Main Category,HST Sub Category,Ministry Subject Code
1610076,11,INTRODUCTORY HEILTSUK 11,MIHLT11,IHLT 11,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610076,11,INTRODUCTORY HEILTSUK 11,MIHLT11,IHLT 11,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2023 Graduation Program,"Indigenous-focused 10, 11 or 12,Elective",16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,2023 Graduation Program,"Indigenous-focused 10, 11 or 12,Elective",16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610130,12,SECWEPEMCTSIN 12,MSWP-12,SWP  12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1999,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
5003018,12,AIDT: TAP DANCE 12,UATT-12,UATT 12,External Credential,English,Association of International Dance Teachers,Ministry of Education and Child Care,9/1/2002,,,4,1995 Graduation Program,"Fine Arts 11 or 12,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003018,12,AIDT: TAP DANCE 12,UATT-12,UATT 12,External Credential,English,Association of International Dance Teachers,Ministry of Education and Child Care,9/1/2002,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003018,12,AIDT: TAP DANCE 12,UATT-12,UATT 12,External Credential,English,Association of International Dance Teachers,Ministry of Education and Child Care,9/1/2002,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003018,12,AIDT: TAP DANCE 12,UATT-12,UATT 12,External Credential,English,Association of International Dance Teachers,Ministry of Education and Child Care,9/1/2002,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003018,12,AIDT: TAP DANCE 12,UATT-12,UATT 12,External Credential,English,Association of International Dance Teachers,Ministry of Education and Child Care,9/1/2002,,,4,Adult Graduation Program,"Grade 12,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003175,11,LLDA: CHINESE DANCE SYLLABUS 11,ULAC-11,ULAC 11,External Credential,English,Chinese Dance Syllabus (Lorita Leung Dance Association),Ministry of Education and Child Care,9/1/2002,,,"2,4",1995 Graduation Program,"Fine Arts 11 or 12,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003175,11,LLDA: CHINESE DANCE SYLLABUS 11,ULAC-11,ULAC 11,External Credential,English,Chinese Dance Syllabus (Lorita Leung Dance Association),Ministry of Education and Child Care,9/1/2002,,,"2,4",2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003175,11,LLDA: CHINESE DANCE SYLLABUS 11,ULAC-11,ULAC 11,External Credential,English,Chinese Dance Syllabus (Lorita Leung Dance Association),Ministry of Education and Child Care,9/1/2002,,,"2,4",2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
5003175,11,LLDA: CHINESE DANCE SYLLABUS 11,ULAC-11,ULAC 11,External Credential,English,Chinese Dance Syllabus (Lorita Leung Dance Association),Ministry of Education and Child Care,9/1/2002,,,"2,4",2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,03 DANCE,15 Fine Arts
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,"Grade 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101228,12,IB COMPUTER SCIENCE (SL) 12,ICSS-12,IBCSS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
5430026,11,LD IEP MODIFIED 11E,XSIEP1E,XSIEP11E,Locally Developed,English,Board / Authority,Board / Authority,9/1/2000,,,,1995 Graduation Program,Elective,54 SPECIAL EDUCATION -,30 FUNCTIONAL LIFE SKILLS,60 Special Ed
1605035,11,Goethe-Zertifikat (German) A2 CEFR 11A,UGZ--1A,UGZ  11A,External Credential,English,Goethe-Institut,Ministry of Education and Child Care,9/1/2009,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,05 GERMANIC LANGUAGES,30 Languages
1605035,11,Goethe-Zertifikat (German) A2 CEFR 11A,UGZ--1A,UGZ  11A,External Credential,English,Goethe-Institut,Ministry of Education and Child Care,9/1/2009,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,05 GERMANIC LANGUAGES,30 Languages
1605035,11,Goethe-Zertifikat (German) A2 CEFR 11A,UGZ--1A,UGZ  11A,External Credential,English,Goethe-Institut,Ministry of Education and Child Care,9/1/2009,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,05 GERMANIC LANGUAGES,30 Languages
1605035,11,Goethe-Zertifikat (German) A2 CEFR 11A,UGZ--1A,UGZ  11A,External Credential,English,Goethe-Institut,Ministry of Education and Child Care,9/1/2009,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,05 GERMANIC LANGUAGES,30 Languages
1605035,11,Goethe-Zertifikat (German) A2 CEFR 11A,UGZ--1A,UGZ  11A,External Credential,English,Goethe-Institut,Ministry of Education and Child Care,9/1/2009,,,4,Adult Graduation Program,Elective,16 FOREIGN LANGUAGES,05 GERMANIC LANGUAGES,30 Languages
2401080,11,INDEPENDENT DIRECTED STUDIES 11B,MIDS-1B,IDS  11B,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1996,,,"1,2,3,4",1995 Graduation Program,Elective,24 LIBERAL/GENERAL STUDIES,01 LIBERAL/GENERAL STUDIES,65 Other
2401080,11,INDEPENDENT DIRECTED STUDIES 11B,MIDS-1B,IDS  11B,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1996,,,"1,2,3,4",2004 Graduation Program,Elective,24 LIBERAL/GENERAL STUDIES,01 LIBERAL/GENERAL STUDIES,65 Other
2401080,11,INDEPENDENT DIRECTED STUDIES 11B,MIDS-1B,IDS  11B,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1996,,,"1,2,3,4",2018 Graduation Program,Elective,24 LIBERAL/GENERAL STUDIES,01 LIBERAL/GENERAL STUDIES,65 Other
2401080,11,INDEPENDENT DIRECTED STUDIES 11B,MIDS-1B,IDS  11B,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1996,,,"1,2,3,4",2023 Graduation Program,Elective,24 LIBERAL/GENERAL STUDIES,01 LIBERAL/GENERAL STUDIES,65 Other
2401080,11,INDEPENDENT DIRECTED STUDIES 11B,MIDS-1B,IDS  11B,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/1996,,,"1,2,3,4",Course-Based Graduation Program,Elective,24 LIBERAL/GENERAL STUDIES,01 LIBERAL/GENERAL STUDIES,65 Other
1303386,12,Explore: Trades Sampler (COTR) 12B,TSTE-2B,TSTE 12B,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,9/1/2016,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",13 EDUCATION,03 CURRICULUM AND INSTRUCTION,65 Other
1303386,12,Explore: Trades Sampler (COTR) 12B,TSTE-2B,TSTE 12B,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,9/1/2016,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",13 EDUCATION,03 CURRICULUM AND INSTRUCTION,65 Other
1303386,12,Explore: Trades Sampler (COTR) 12B,TSTE-2B,TSTE 12B,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,9/1/2016,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",13 EDUCATION,03 CURRICULUM AND INSTRUCTION,65 Other
1303386,12,Explore: Trades Sampler (COTR) 12B,TSTE-2B,TSTE 12B,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,9/1/2016,,,4,Adult Graduation Program,"Grade 12,Elective",13 EDUCATION,03 CURRICULUM AND INSTRUCTION,65 Other
3201670,12,Train: Train in Trades (BCIT) 12I,TRNA-2I,TRNA 12I,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201670,12,Train: Train in Trades (BCIT) 12I,TRNA-2I,TRNA 12I,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201670,12,Train: Train in Trades (BCIT) 12I,TRNA-2I,TRNA 12I,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201670,12,Train: Train in Trades (BCIT) 12I,TRNA-2I,TRNA 12I,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,Adult Graduation Program,Elective,32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201763,12,Train: Train in Trades (Selkirk) 12F,TRNS-2F,TRNS 12F,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201763,12,Train: Train in Trades (Selkirk) 12F,TRNS-2F,TRNS 12F,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201763,12,Train: Train in Trades (Selkirk) 12F,TRNS-2F,TRNS 12F,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201763,12,Train: Train in Trades (Selkirk) 12F,TRNS-2F,TRNS 12F,External Credential,English,SkilledTradesBC,Ministry of Education and Child Care,1/1/2017,,,4,Adult Graduation Program,Elective,32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
2101504,10,TRAVAIL DES MÉTAUX 10,FTMET10,TMETF10,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2018,,,"2,4",2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",21 INDUSTRIAL ARTS,01 INDUSTRIAL ARTS,05 Applied Skills
2101504,10,TRAVAIL DES MÉTAUX 10,FTMET10,TMETF10,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2018,,,"2,4",2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",21 INDUSTRIAL ARTS,01 INDUSTRIAL ARTS,05 Applied Skills
5009607,12,MUSIQUE CHORALE – CHOEUR DE CHAMBRE 12,FMUCH12,MUCHF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009607,12,MUSIQUE CHORALE – CHOEUR DE CHAMBRE 12,FMUCH12,MUCHF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009607,12,MUSIQUE CHORALE – CHOEUR DE CHAMBRE 12,FMUCH12,MUCHF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,Adult Graduation Program,Grade 12,50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
4507035,12,GÉOGRAPHIE PHYSIQUE 12,FPGEO12,PGEOF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,2018 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507035,12,GÉOGRAPHIE PHYSIQUE 12,FPGEO12,PGEOF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,2023 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507035,12,GÉOGRAPHIE PHYSIQUE 12,FPGEO12,PGEOF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,7/1/2019,,,4,Adult Graduation Program,Grade 12 or Social Studies 11 or 12,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
3201887,12,JEUNES AU TRAVAIL DANS LES MÉTIERS 12A,FWRK-2A,WRKF 12A,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/2017,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201887,12,JEUNES AU TRAVAIL DANS LES MÉTIERS 12A,FWRK-2A,WRKF 12A,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/2017,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201887,12,JEUNES AU TRAVAIL DANS LES MÉTIERS 12A,FWRK-2A,WRKF 12A,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/2017,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
3201887,12,JEUNES AU TRAVAIL DANS LES MÉTIERS 12A,FWRK-2A,WRKF 12A,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/2017,,,4,Adult Graduation Program,Grade 12,32 BASIC SKILLS,"01 BASIC SKILLS, CAREERS AND EMPLOYMENT",65 Other
2002038,12,Capilano University ECE Course 12F,ECEC-2F,ECEC 12F,External Credential,English,Capilano University,Ministry of Education and Child Care,1/1/2022,,,"2,4",2018 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002038,12,Capilano University ECE Course 12F,ECEC-2F,ECEC 12F,External Credential,English,Capilano University,Ministry of Education and Child Care,1/1/2022,,,"2,4",2023 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002038,12,Capilano University ECE Course 12F,ECEC-2F,ECEC 12F,External Credential,English,Capilano University,Ministry of Education and Child Care,1/1/2022,,,"2,4",Adult Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002140,12,Langara College ECE Course 12E,ECEK-2E,ECEK 12E,External Credential,English,Langara College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2018 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002140,12,Langara College ECE Course 12E,ECEK-2E,ECEK 12E,External Credential,English,Langara College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2023 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002140,12,Langara College ECE Course 12E,ECEK-2E,ECEK 12E,External Credential,English,Langara College,Ministry of Education and Child Care,1/1/2022,,,"2,4",Adult Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002235,12,Selkirk College ECE Course 12L,ECES-2L,ECES 12L,External Credential,English,Selkirk College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2018 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002235,12,Selkirk College ECE Course 12L,ECES-2L,ECES 12L,External Credential,English,Selkirk College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2023 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002235,12,Selkirk College ECE Course 12L,ECES-2L,ECES 12L,External Credential,English,Selkirk College,Ministry of Education and Child Care,1/1/2022,,,"2,4",Adult Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002326,12,Ridge Meadows College ECE Course 12M,ECECC2M,ECECC12M,External Credential,English,Ridge Meadows College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2018 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002326,12,Ridge Meadows College ECE Course 12M,ECECC2M,ECECC12M,External Credential,English,Ridge Meadows College,Ministry of Education and Child Care,1/1/2022,,,"2,4",2023 Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
2002326,12,Ridge Meadows College ECE Course 12M,ECECC2M,ECECC12M,External Credential,English,Ridge Meadows College,Ministry of Education and Child Care,1/1/2022,,,"2,4",Adult Graduation Program,Elective,20 VOCATIONAL HOME ECONOMICS,02 CHILD CARE AND GUIDANCE MANAGEMENT AND SERVICES,20 Health and Career Ed
3401444,12,Northern Lights Health Career Dual Credit 12J,PHCO-2J,PHCO 12J,External Credential,English,Northern Lights College,Ministry of Education and Child Care,8/1/2023,,,4,2018 Graduation Program,Elective,34 HEALTH RELATED ACTIVITIES,01 HEALTH RELATED ACTIVITIES,20 Health and Career Ed
3401444,12,Northern Lights Health Career Dual Credit 12J,PHCO-2J,PHCO 12J,External Credential,English,Northern Lights College,Ministry of Education and Child Care,8/1/2023,,,4,2023 Graduation Program,Elective,34 HEALTH RELATED ACTIVITIES,01 HEALTH RELATED ACTIVITIES,20 Health and Career Ed
3401444,12,Northern Lights Health Career Dual Credit 12J,PHCO-2J,PHCO 12J,External Credential,English,Northern Lights College,Ministry of Education and Child Care,8/1/2023,,,4,Adult Graduation Program,Elective,34 HEALTH RELATED ACTIVITIES,01 HEALTH RELATED ACTIVITIES,20 Health and Career Ed
3401534,12,Coast Health Career Dual Credit Course 12J,PHCP-2J,PHCP 12J,External Credential,English,Coast Mountain College,Ministry of Education and Child Care,7/1/2023,,,4,2018 Graduation Program,Elective,34 HEALTH RELATED ACTIVITIES,01 HEALTH RELATED ACTIVITIES,20 Health and Career Ed
